,Review_text,Sentiment_NLTK_numeric
1911,Very nice product 👍👍READ MORE,1
1912,Nice product💯💯👍👍READ MORE,1
1913,Not good qualityREAD MORE,0
1914,"Kudos on the delivery, quick and well packaged. Product is great.READ MORE",1
1916,Good product.READ MORE,1
1917,Nice productREAD MORE,1
1918,Perfect for PlayREAD MORE,1
1919,Excellent shuttles as alwaysREAD MORE,1
1920,Very nice original and genuine products supplied by flipkartREAD MORE,1
1921,bad qualityREAD MORE,0
1922,Good shuttleREAD MORE,1
1923,Value for moneyREAD MORE,1
1924,A good and orginal product. Thanks FlipKart.READ MORE,1
1925,Quality is nice but not that great.READ MORE,1
1926,Satisfactory only...READ MORE,1
1928,Nice shuttle our team played well by using this and the negative point is in outdoors some what the shuttle lose stabilityREAD MORE,0
1929,Good and fast delivery superREAD MORE,1
1930,Good ARN link retailers product is googREAD MORE,1
1931,Worth for moneyREAD MORE,1
1932,Best shuttlesREAD MORE,1
1933,"Perfect shuttles for Indoor. Lasts long, good in quality.READ MORE",1
1934,Very nice productREAD MORE,1
1936,No goodREAD MORE,0
1937,Nice shuttlesREAD MORE,1
1938,Original good qualityREAD MORE,1
1939,Nice productREAD MORE,1
1942,Very fast delivery...And very good quality of shuttles....READ MORE,1
1943,Nice productREAD MORE,1
1946,"Nice product, good quality but price is little highREAD MORE",1
1948,"Disappointed , only one shuttle was proper rest all are swinging..READ MORE",0
1950,Good quality shuttes👍👍READ MORE,1
1954,Nice superREAD MORE,1
1955,Best quality product thanks for FlipkartREAD MORE,1
1960,very poor productREAD MORE,0
1961,Very high price compare to other products.  Better to buy similar product on li-ning for lower priceREAD MORE,1
1962,Very good qualityREAD MORE,1
1964,Awesome 👍👍👍👍👍😎READ MORE,1
1965,it's fast devery  thanks to flipkartREAD MORE,1
1968,"Quality is very good , price is too high .. Excellent quality and reliable tooREAD MORE",1
1972,Nice and real shuttle of yonexREAD MORE,1
1976,Got original and cheaper than in local marketREAD MORE,1
1977,Super quality productREAD MORE,1
1978,Its Ok good productREAD MORE,1
1982,Amazing offer for genuine productsREAD MORE,1
1983,Better than all other brands in this segment.READ MORE,1
1984,Very good quality thanks flipkartREAD MORE,1
1985,super product I love itREAD MORE,1
1986,Good itemsREAD MORE,1
1988,Fastest ever delivery ever recieved.. ordered yesterday and received today. Thanks to Flipkart.. genuine product..READ MORE,1
1989,This shuttle give nice control.READ MORE,1
1990,Nice productREAD MORE,1
1994,"Actually this previous shuttles good,but this time bottom is damaged fast.READ MORE",0
1995,Value for moneyREAD MORE,1
1996,Awesome productREAD MORE,1
1999,Good product and reasonable priceREAD MORE,1
2001,Cork is very bad qualityREAD MORE,0
2002,Was an excellent purchase.. does its job perfectly.. the only problem we felt was the flying speed was little less compared with  Mavis 350 shuttle we purchased from out side.. ilREAD MORE,1
2004,Nice shuttlesREAD MORE,1
2005,Good quality satisfied for what I paidREAD MORE,1
2006,Using this product Racquet broken fastREAD MORE,0
2008,Nice productREAD MORE,1
2009,reached on time goodREAD MORE,1
2012,Worth for money nice productREAD MORE,1
2015,Good productREAD MORE,1
2016,product is lower quality for compare to previous lock down  productREAD MORE,0
2017,Awesome product....best quality...🤩🤩🤩READ MORE,1
2019,Good one recievedREAD MORE,1
2020,Good product but now price is highREAD MORE,1
2021,Worth of priceREAD MORE,1
2022,Nice product.READ MORE,1
2023,Super super niceREAD MORE,1
2024,"The product is a bit costly. But, it's not a regular shuttle. Being new to this sport, I didn't have a clear idea whether it'll last longer or not. I had to experiment and as of now I can assure you that it's the best quality you can get at this price point. Go for it. The whole box will last you more than a month if you are a regular player.READ MORE",1
2025,Nice and very durableREAD MORE,1
2026,Original product.I love it.READ MORE,1
2032,Some shttles are not good quality. Doesn't look authentic as local markets shuttles are much better and durable.READ MORE,1
2034,Original product if you are intermediate then it is good for youREAD MORE,1
2035,Super it's good for playingREAD MORE,1
2038,Good ProductREAD MORE,1
2039,Nice durableREAD MORE,1
2040,Good qualityREAD MORE,1
2043,Good qualityREAD MORE,1
2044,"In such pandemic time this product yonex MAVIS 350 is not easy to find in sports stores , and they demand more than 200+ for single piece so please buy this product i got it for 900 price and quality are good go for itREAD MORE",1
2045,Great product 👌READ MORE,1
2046,Thanks flipcartREAD MORE,1
2048,Value for moneyREAD MORE,1
2049,good qualtyREAD MORE,1
2053,Original product from yonexREAD MORE,1
2055,Nice quality brilliant good conditionREAD MORE,1
2057,Good productREAD MORE,1
2058,Nice productREAD MORE,1
2060,Good delivery service and product also awesomeREAD MORE,1
2063,Very good productREAD MORE,1
2064,Only 4 shuttles are good.. two are waste of money..READ MORE,0
2065,"Yah, not bad.... better for shuttle players who r in beginners not for extraordinary players...READ MORE",0
2067,Nice shuttles..... Mavis 350 are very good shuttles. But Little costly.... But no problem . Can be better than mavis 10......worthy.READ MORE,1
2070,The product is good and price worthy.READ MORE,1
2071,Good professional productREAD MORE,1
2074,Super shuttle..READ MORE,1
2075,Good quality like purchased in sports centerREAD MORE,1
2078,Super productREAD MORE,1
2079,Nice productREAD MORE,1
2080,Super and durable for our shotsREAD MORE,1
2081,Good productREAD MORE,1
2082,Good productREAD MORE,1
2089,Good and original Yonex shuttle..READ MORE,1
2091,Nice product and fast deliveryREAD MORE,1
2093,Good onesREAD MORE,1
2096,Best nylon shuttle for outdoor and indoor..READ MORE,1
2098,Good productREAD MORE,1
2099,Perfect 3day usage of each one.Worth purchase 👌👍😊READ MORE,1
2101,Very nice and durableREAD MORE,1
2102,Very worth it product and value for moneyREAD MORE,1
2104,It's perfectly pure on qualityREAD MORE,1
2106,Nice pack... Go for it... Value for money...  Thnks flipkart..READ MORE,1
2107,Fast delivery best qualityREAD MORE,1
2108,thank you flipkart for a quality product and standard delivery...READ MORE,1
2109,Quality doesn't missed anywhereREAD MORE,1
2110,Good productREAD MORE,1
2111,thisbis very good product but price is to much price will be 800READ MORE,1
2113,Excellent productREAD MORE,1
2114,Good productREAD MORE,1
2118,Product was too bad and quality not good as expected.. Earlier we bought same product and used each shuttle for a week.. This product not sure why it got damaged with in a day.. please check and do the needful ASAPREAD MORE,0
2120,"Quality of product is not good, cork broken only within one hours.READ MORE",1
2125,"No shuttlecocks can compete this one, in terms of flight, durability, exactness, well balanced!READ MORE",0
2126,very good productREAD MORE,1
2127,Firstly  Yonex is best company  for badminton and this shuttle is better than Yonex 250READ MORE,1
2129,"Very good product,thank you flipkartREAD MORE",1
2136,Ok fineREAD MORE,1
2137,Not so good in terms of durabilityREAD MORE,0
2138,Very good qualityREAD MORE,1
2139,Nice shuttles. Played 9 games so far without baby damage to the shuttles. It will last another 8-9 gamesREAD MORE,1
2140,Nice productREAD MORE,1
2141,I am well satisfied.I am very greatful to flipkart.Hope that in future order also you will deliver me the right goods.ThankuREAD MORE,1
2142,Good qualityREAD MORE,1
2144,Its original product. You are not going to waste your money. Feel free to buy 😄.READ MORE,1
2146,Best in seeREAD MORE,1
2148,Nice productsREAD MORE,1
2149,Good productREAD MORE,1
2153,"Nothing much to tellAlways best product for badminton ,READ MORE",1
2155,Products are good qualityREAD MORE,1
2156,Nice productREAD MORE,1
2162,I was so happy 😁😁.It is very good product in Yonex Mavis 350 nylon shuttle.READ MORE,1
2167,Good shuttle for defensive play Better for intermediate playersBeginner is mavis 10 bestREAD MORE,1
2170,nice product and durableREAD MORE,1
2171,Nice product but delivery is very delayREAD MORE,1
2173,It is a waste product and I suggest the people to not bay from FlipkartREAD MORE,0
2175,Durability is not good as expected. It usually last for 4-5daysREAD MORE,0
2176,Good and best productREAD MORE,1
2178,Worst experience with this purchaseREAD MORE,0
2182,Good qualityREAD MORE,1
2184,Very nice product....READ MORE,1
2186,Good product But price is on higher sideREAD MORE,1
2188,Good one... On problem for  20 to 30 days..READ MORE,1
2189,Nice qualityREAD MORE,1
2191,Best durability little slow but similar flight as feather shuttle tournament grade.READ MORE,1
2192,As usual . Awesome and best among all the shuttles brands.READ MORE,1
2194,Excellent productREAD MORE,1
2198,Great QualityREAD MORE,1
2200,Nice productSafe deliveryREAD MORE,1
2201,Excellent productREAD MORE,1
2205,Nice oneREAD MORE,1
2207,"Original product I got, happy with deliveryREAD MORE",1
2208,So good 👍 service also nice 👌READ MORE,1
2209,Generally it's base broke in some of the shuttleREAD MORE,0
2211,Original shuttle. Great experienceREAD MORE,1
2212,Some of the items not good qualityREAD MORE,0
2214,Good oneREAD MORE,1
2215,Nice 👍READ MORE,1
2220,Original product.. very good qualityREAD MORE,1
2221,The shuttle are good.... If u play normally it can last for more than week.... But since I mostly smash and have usually serious play.... So lasting for 3-4 days........... Would say go for itREAD MORE,1
2222,Nice service and very fast delivery and appropriate item not like other on line storesREAD MORE,1
2223,Good 👍READ MORE,1
2229,Best shuttlecock for playing indoor as well as you can use for outdoor gaming.READ MORE,1
2230,It is good productREAD MORE,1
2232,Good productREAD MORE,1
2233,Best qualityREAD MORE,1
2234,Great dealREAD MORE,1
2236,Good quality as expected.READ MORE,1
2238,Nice product advance deliveryREAD MORE,1
2241,Good qualityREAD MORE,1
2242,Super shuttle......very strong and slowREAD MORE,1
2247,"Excellent product, worth for moneyREAD MORE",1
2248,Go for it. Very good quality.READ MORE,1
2249,Good quality 👌READ MORE,1
2250,Good qualityREAD MORE,1
2253,very good 😍😍READ MORE,1
2254,Nice oneREAD MORE,1
2255,Super product.. Plastic seal brokenREAD MORE,1
2256,Good quality product but price has been increased a little bitREAD MORE,1
2257,Great qualityREAD MORE,1
2258,Yonex 350 coack is very good for badmintonREAD MORE,1
2260,Mavis 350  good productREAD MORE,1
2262,A lil bit costly but DurableREAD MORE,0
2264,2 shuttles are damaged otherwise it's okay...READ MORE,0
2266,Best for shuttleREAD MORE,1
2268,Best product..READ MORE,1
2269,Nice oneREAD MORE,1
2274,Original and awesomeREAD MORE,1
2275,Nice productREAD MORE,1
2278,good qualityREAD MORE,1
2279,Good productREAD MORE,1
2280,It is very good quality but the rate is little higher.READ MORE,1
2282,Nice productREAD MORE,1
2284,Good product best qualityREAD MORE,1
2286,Good quality shuttles for indoor play. Go for it.READ MORE,1
2287,It's good must buy it .....READ MORE,1
2292,Good product  love it.READ MORE,1
2293,Good one..!!READ MORE,1
2294,Super qualityREAD MORE,1
2296,All good but price should be lowerREAD MORE,1
2298,Very nice shuttle And good balancing shuttleREAD MORE,1
2299,Best product for beginners playing outside.READ MORE,1
2303,Very good productREAD MORE,1
2304,Products was good but the cap wasn't good and it's not a long lasting shuttleREAD MORE,1
2306,Super Fast Delivery Un ExpectedREAD MORE,1
2308,Excellent to play..READ MORE,1
2311,It's a genuine and good productREAD MORE,1
2312,Nice oneREAD MORE,1
2313,Good product nd good pack thank flipkartREAD MORE,1
2314,Super productREAD MORE,1
2316,Very bad product all the corcks are ccracked one'sREAD MORE,0
2317,Original shuttle very  niceREAD MORE,1
2319,Good qualityREAD MORE,1
2321,"Overall good product. However, out of 6, found one shuttle is not up to the mark and is revolving like a bullet. A waste of money. Not sure if the vendor is selling genuine products at all.READ MORE",1
2322,Nice but 77 gm very niceREAD MORE,1
2324,Very super productREAD MORE,1
2328,Nice shuttleREAD MORE,1
2329,Best and most consistent shuttle cork for regular players. Original product delivered. This shuttle is used in most of the junior tournaments across the world.READ MORE,1
2332,The shuttles (green) are very fast. Not enjoying the game just little push or lift shuttles going out.READ MORE,0
2336,"Good quality, original.READ MORE",1
2337,Good qualityREAD MORE,1
2338,Really good quality shuttles...READ MORE,1
2341,very bad productREAD MORE,0
2342,Good productREAD MORE,1
2345,Very good qualityREAD MORE,1
2346,"Indies best plastic shuttle, every player like it , in lockdown price very highREAD MORE",1
2349,"Don't buy it, they are putting adrenex shuttles inside and there is no return policyREAD MORE",0
2350,Base of the shuttle is not good it was damaged.READ MORE,0
2354,excellent productREAD MORE,1
2355,Worst experienceREAD MORE,0
2357,Am happy after use...But give same discountREAD MORE,1
2359,Good shuttleREAD MORE,1
2360,100%%%%% original product thanksREAD MORE,1
2361,"This time around, the quality is so low that, 3 of the 6 pack didn't last an hour. Probably, 2nd quality... Nobody pays market price for 2nd QualityREAD MORE",0
2362,Service is good ...but so lateREAD MORE,1
2363,Good prREAD MORE,1
2365,Product quality is very good but price is a bit high.READ MORE,1
2366,It's overall good but there is some small holes in cork which may be caused by some insectsREAD MORE,1
2367,Waste product. Don't buy this product. Every cork was not properly fixed.READ MORE,0
2368,Good original shuttleREAD MORE,1
2369,Good its okREAD MORE,1
2370,Good qualityREAD MORE,1
2372,Fantastic original  with Yonex hologram package fantasticREAD MORE,1
2373,Too costly not original shuttle rotating badlyREAD MORE,0
2375,Nice shuttleREAD MORE,1
2376,Good one.Got it on time.Thanks FlipkartREAD MORE,1
2378,Product is good but price is......READ MORE,1
2379,Excellent condition of shuttlecocks. Timely delivery of a genuine product. Quality is assured in FLIPCART.READ MORE,1
2381,Good productREAD MORE,1
2384,Worst . Recieved damaged product. Waste of money.READ MORE,0
2385,Not suitable for indoor badminton or standard players. I hated it.. Iam not interest to buy this product againREAD MORE,0
2386,Good product but doubt in originalREAD MORE,0
2387,GOOD PRODUCTREAD MORE,1
2389,"Here it is, the perfect shuttle!READ MORE",1
2390,Looks good but durability is worstREAD MORE,1
2391,All the shuttles in the box are quite good and long lasting.READ MORE,1
2393,"I checked each piece, got the originals. Thank you seller.READ MORE",1
2394,Got defected piecesREAD MORE,0
2396,Good oneREAD MORE,1
2397,Nice product 👍READ MORE,1
2398,Good qualityREAD MORE,1
2400,Good but costlyREAD MORE,1
2401,Not good one don't bayREAD MORE,0
2402,Good as always but getting expensive on every purchase .READ MORE,1
2403,I have received package with good condition but 3shuttles is not goodREAD MORE,1
2404,Flipkart assured is really good.READ MORE,1
2407,Wonderful shuttles. We can play in indoor and outdoor also.READ MORE,1
2408,Good qualytiREAD MORE,1
2412,Good prdt got at 793READ MORE,1
2417,A very nice product. Everybody can buy.READ MORE,1
2418,Good productREAD MORE,1
2420,Good qualityREAD MORE,1
2421,It was good for the game..READ MORE,1
2426,"Good product , genuine 100%READ MORE",1
2430,"The shuttle is really good, I and my friends are playing by hitting it very hard smashes everyday, so the shuttle life for me is 3 to 4 weeks. Buy it.READ MORE",1
2431,Product quality was nice but delivery delay was absolutely disgusting🤢🤢🤢🤢READ MORE,0
2433,Nice Flipkart 🥰READ MORE,1
2434,Totally waste of money. Poor quality shuttle. Very slow moving. We can't even play single game with one shuttleREAD MORE,0
2435,Best product...👍👍READ MORE,1
2438,"Worth the money, good qualityREAD MORE",1
2440,Good original speed and qualityREAD MORE,1
2442,"Very good quality, reasonable price and fast delivery.READ MORE",1
2444,Liked it very muchREAD MORE,1
2445,Super but rate is very highREAD MORE,1
2446,Nice product.READ MORE,1
2447,Good and sooper.READ MORE,1
2448,Great productREAD MORE,1
2449,Nice product.READ MORE,1
2450,Bad qualityREAD MORE,0
2451,Worth of Money.. We are always flipkart family...thank uREAD MORE,1
2454,Original Quality. One shuttle last for atleast 9 sets if you are of an Intermediate level.READ MORE,1
2455,Very bad qualityShuttle life is very badREAD MORE,0
2456,Bad qualityREAD MORE,0
2457,Best for beginnersREAD MORE,1
2458,"I've been delivered with original and sealed,they are awesomeREAD MORE",1
2460,Very good qualityREAD MORE,1
2461,Poor qualityREAD MORE,0
2462,Good qwalityREAD MORE,1
2463,Good quality  👍Genuine product from yonex 👍READ MORE,1
2464,It is very good it has came with excellent packagingREAD MORE,1
2466,Good productREAD MORE,1
2468,Nice productREAD MORE,1
2469,Nice product but slow deliveredREAD MORE,1
2471,Great shuttle for practice...... Lasting for 5 to 6 sets (heavy play)READ MORE,1
2472,Good 🏸READ MORE,1
2473,Good oneREAD MORE,1
2474,Original shuttle.. timely deliveryREAD MORE,1
2476,Best king of king ShuttlecockREAD MORE,1
2477,Bad quality. Suggested to low level playersREAD MORE,0
2478,Products delivered are good and within the time.Thank you FlipcartREAD MORE,1
2480,Brand remain same. But awesome Delivery scheduleREAD MORE,1
2481,Poor quality shuttle head comes out easily.hopeless product very disappointingREAD MORE,0
2482,Amazing genuine product at best price...go ahead without any further thought.READ MORE,1
2484,Nice product ND nce deliveryREAD MORE,1
2486,"While playing, going like a rocket speed to out of the  ground... speed of the cork is too high....READ MORE",1
2489,"Good quality, value for moneyREAD MORE",1
2496,Shuttles are not in good condition. Even after one game shuttle start to wobble and it doesn’t feel like mavis 350. Feels like a cheap knockoff of the yonexREAD MORE,1
2497,Good qualityREAD MORE,1
2498,Quality  was  very bad thos time .shuttle became  useless with in an hour.very bad  all shuttles separated.  Never expected  from flipkartREAD MORE,0
2499,Excellent quality shuttleREAD MORE,1
2503,Shuttles are good but easily gets worn out after 5 games.READ MORE,1
2505,"Good and original ones....can understand the higher price due to the current demand. But, the price is still less compared to retail outlets in the cityREAD MORE",1
2506,Worst shuttles.. Started wobbling in first game itself..  DO NOT BUYREAD MORE,0
2508,Amazing product❤ Fully satisfied! I love you flipkart marry me🙆🏻‍♂️READ MORE,1
2510,Good shuttle for outdoor long lastingREAD MORE,1
2512,Super qualityREAD MORE,1
2514,Superb fresh article.READ MORE,1
2515,Really good product. Yes really 350 nylon shuttleREAD MORE,1
2516,It's original oneREAD MORE,1
2519,Received good quality productREAD MORE,1
2523,Good productREAD MORE,1
2525,Good qualityREAD MORE,1
2526,Good productREAD MORE,1
2527,"Great experience with this product , WorthyREAD MORE",1
2529,Good productREAD MORE,1
2531,Very nice it withstands so long compared to Mavis 10 or mavis 200i. Anyone can choose this one for long durability.READ MORE,1
2535,Delivery boy good workREAD MORE,1
2536,Original for sure!!READ MORE,1
2537,Its not good qualityREAD MORE,0
2538,Good Shuttle!!READ MORE,1
2540,Good packing and quick delivery from flipkart. Drawbacks are price is high.READ MORE,1
2543,Original Mavis 350 shuttle with nice packing and quick delivery.READ MORE,1
2544,Nice ... completely genuine 👍👌🙂READ MORE,1
2545,Superb quality. super fast deliveryREAD MORE,1
2547,Nice productREAD MORE,1
2548,good qltyREAD MORE,1
2549,Bad Shuttle and bad quality....it is for kids onlyREAD MORE,0
2550,Good one reached in timeREAD MORE,1
2551,Thank you for Timely delivered. Item was in good conditions.READ MORE,1
2552,I like this seller he given best priceREAD MORE,1
2553,good and fast serviceREAD MORE,1
2554,Excellent Product!READ MORE,1
2555,Good productREAD MORE,1
2556,Vry nice product... Lov itREAD MORE,1
2560,Super 360 is great👍👍👍👍READ MORE,1
2561,Nice productREAD MORE,1
2565,Very nice and durable shuttle I have come acrossREAD MORE,1
2568,The product is original and packing was good. But yonex shuttle have become expensiveREAD MORE,1
2569,Worst product i received...damaged in one game and received horrible oneREAD MORE,0
2570,Nice but slowREAD MORE,1
2571,Its value for money and most importantly it's originalREAD MORE,1
2573,Very bad quality.it is not look like as brandedREAD MORE,0
2575,Good Quality of shuttles and quick delivery by Flipkart delivery boy.READ MORE,1
2576,Good qualityREAD MORE,1
2577,Bad quality productREAD MORE,0
2578,"This is the second box I have received, they are not long lasting if you are getting this in 900 rs range.just check the mfg date before purchasing.not sure about the quality.Durability of the original ones are better than what I have received.READ MORE",1
2579,"Local brand, shuttle got damaged in two days all 6 piecesREAD MORE",0
2580,Bad qualityREAD MORE,0
2581,Good productREAD MORE,1
2582,Delivered in time. Good packing.READ MORE,1
2584,Amazing product by flipkart 👍😊😊READ MORE,1
2587,Nice shuttleREAD MORE,1
2589,Excellent performanceREAD MORE,1
2590,Good qualityREAD MORE,1
2591,Low quality...READ MORE,0
2593,Good Mavis 350READ MORE,1
2597,Good products original shuttleREAD MORE,1
2599,Its the original produt im getting at good prices compared to offline storesREAD MORE,1
2607,Best shuttle for outdoor badmintonREAD MORE,1
2610,Recieved  Original product...READ MORE,1
2611,Nice productREAD MORE,1
2613,"Go and buy from nearest store, it is good but are breaking quickly with bad flight patternREAD MORE",0
2615,Excellent productsREAD MORE,1
2616,This product is very attractive and amazingREAD MORE,1
2619,Nice oneREAD MORE,1
2621,Nice productREAD MORE,1
2622,It's amazing 😍READ MORE,1
2625,Bad qualityREAD MORE,0
2627,Best shuttlecock at best priceREAD MORE,1
2630,Original product . We want many more so please maintain the qualityREAD MORE,1
2632,nice workREAD MORE,1
2639,Product was delivered in good conditionREAD MORE,1
2641,Awesome product ❤️READ MORE,1
2648,Thanks flipkartREAD MORE,1
2649,See the quality is good but the price has become too high so i gave 1 starREAD MORE,1
2651,Super productREAD MORE,1
2653,4 damage pieceREAD MORE,0
2657,Quality is perfect as mentionedREAD MORE,1
2658,It’s a original productREAD MORE,1
2663,Very Good product.READ MORE,1
2665,Best qualityREAD MORE,1
2666,Nice shuttles...READ MORE,1
2667,Good product 👍READ MORE,1
2669,Really good. ThanksREAD MORE,1
2670,Good & fresh shuttleREAD MORE,1
2673,Didn't last as expected. The cork was of not good quality and came out from the nylon feather.READ MORE,0
2674,Very good productREAD MORE,1
2676,Better to buy from a reliable sports shop .READ MORE,1
2677,Good qualityREAD MORE,1
2679,I love the shuttles... it was really good and durable...READ MORE,1
2682,Very nice plz maintain 899 price thankyouREAD MORE,1
2683,Very good item are received Happy for thatREAD MORE,1
2685,Good QualityREAD MORE,1
2686,Best shuttle under 900READ MORE,1
2688,Shuttle quality is good but packing is not goodREAD MORE,1
2692,Thanks for quick deliveryOriginal productREAD MORE,1
2693,Good purchase. Genuine product. Fast delivery. Thank youREAD MORE,1
2694,"Not durable,broken easily and not cost effectiveREAD MORE",0
2696,"Not durable, 1 shuttle lost every 8 matches.Edge gets cut. Base is also cutting 🥺🥺READ MORE",0
2697,The quality of the shettle were not good as exceptedREAD MORE,0
2699,Good and original productREAD MORE,1
2701,Delivered on time and delivery executive is so Pro active. He delivered to security when he sensed am in the meeting .. thanks to such guysREAD MORE,1
2703,Don’t buy the product is very bad got bent after few days of using itREAD MORE,0
2705,Excellent product must buyValue for money Long lastingREAD MORE,1
2706,Good products and i played with itI prefer to buy this OnlyREAD MORE,1
2711,Totally disappointed local plasticPlease don't buyREAD MORE,0
2712,Nice original productREAD MORE,1
2718,Good ProductREAD MORE,1
2719,Good may god bless you my childREAD MORE,1
2722,Nice productsREAD MORE,1
2724,"Nice , comfortable for playing, compare to 200i, this is the bestREAD MORE",1
2725,Long lasting good qualityREAD MORE,1
2727,Poor quality..READ MORE,0
2728,Good productREAD MORE,1
2729,Absolutely genuine shuttles. They last very long and are strong. I loved it... Very worthy for your money.READ MORE,1
2730,Nicely sealed box and looks genuineREAD MORE,1
2732,"Low quality product, one shuttle starts tearing up after 7-8 games.READ MORE",0
2735,Nice n original productREAD MORE,1
2736,super go for itREAD MORE,1
2737,Awesome 👍😎READ MORE,1
2739,Quality product. Value for moneyREAD MORE,1
2740,Good productREAD MORE,1
2742,Good performanceREAD MORE,1
2745,Best shuttle 👍READ MORE,1
2748,Good shuttleREAD MORE,1
2749,Ok original product...READ MORE,1
2750,worth to moneyREAD MORE,1
2754,Perfect qualityREAD MORE,1
2755,Thanks seller I got replace orignal product as required.READ MORE,1
2756,Best productREAD MORE,1
2757,Good quality..durability is also more..READ MORE,1
2758,Liked itREAD MORE,1
2761,It is worth the money we spend to buy it .....good quality 👍READ MORE,1
2762,Good product 👍READ MORE,1
2765,I love itREAD MORE,1
2767,Price is too high and low durability Got Damaged after 1 dayREAD MORE,0
2768,Nice Product very good for playing and it can survive up to 3 days in normal playing condition.READ MORE,1
2769,Low quality product send . The shatels are broken when I played 2 games onlyREAD MORE,0
2770,Good productREAD MORE,1
2774,Awesome Product & Delivery is SuperbREAD MORE,1
2778,Good qualityREAD MORE,1
2779,"Quality concern,very poor poor quality i ll not recommend to buyREAD MORE",0
2781,As expected it is Mavis-350. I liked this oneREAD MORE,1
2782,Thank you so muchREAD MORE,1
2783,It's good but it's not durable yonex Mavis 10 is an all rounder at the price of 1 yonex mavis 350 v get 2yonex Mavis 10 plus is durable too it all has some disadvantages but it won't matter if u have not played with 350yet If and only if the prise of 350 gets low will suggest it it not value for money at the momentREAD MORE,0
2785,Some of the shuttles are very fast no drift at all worst purchaseREAD MORE,0
2787,i was really surprised with the speed of delivery...got the product in less than 12 hours...full 5 starsREAD MORE,1
2789,Super... thanks FlipkartREAD MORE,1
2790,Cork is not worthy. Quality is too poor.READ MORE,0
2792,Original ptoduct.I m happy with that.ty flipcart.today I have just received the item and it seems superb.after playing with the shuttle I will post more review whether it is genuine or not.READ MORE,1
2794,Good job. Reached my purchase. 3 Before the delivery date. Keep it upREAD MORE,1
2797,Damage  product givenREAD MORE,0
2798,good qualityREAD MORE,1
2803,Good shuttleREAD MORE,1
2804,Good quality productREAD MORE,1
2807,Smart buy at only 809..READ MORE,1
2808,This is not mavis350 slow.. the feathers are rough.. and shettle flies outside the court easily. Can't play the proper game..READ MORE,1
2809,Thank you flipkart for arranging the replacement. I am upgrading the stars. But please ensure that such incidents doesn't happen again.READ MORE,1
2810,Good qualityREAD MORE,1
2812,Always better this shuttleREAD MORE,1
2813,"It's a good Shuttle for Outdoor.We are always playing with Mavis 350Great Shuttle but "" white is better than green "" 👍READ MORE",1
2816,Super quality and good durabilityREAD MORE,1
2819,Very good and thanksREAD MORE,1
2823,The shuttle speed was lower than anticipates as compared to the normal ones brought from the store. Complete waste of money.READ MORE,0
2826,Very good qualityREAD MORE,1
2827,Damaged products..READ MORE,0
2828,Poor quality don't buy thisREAD MORE,0
2829,Nice product and timely delivery.READ MORE,1
2830,Damaged very quickly.Played hardly for 02 matches per shuttle.READ MORE,0
2833,Value for moneyREAD MORE,1
2838,Favorite for everREAD MORE,1
2841,good and durable for smashingREAD MORE,1
2842,Awesome productREAD MORE,1
2843,Waste of moneyREAD MORE,0
2847,Good productREAD MORE,1
2849,Best qualityREAD MORE,1
2851,Its  tooo bad   quality .its  just running  2  to  3  days onlyREAD MORE,0
2852,Yar suttle is very good but the price is to high for normal studentREAD MORE,1
2854,Very good excellentREAD MORE,1
2857,It's a very good productREAD MORE,1
2858,Got genuine product. Even the import stamp says December 2020. Even when there's a shortage of these shuttles import.READ MORE,0
2859,Good quality delivered within 72hREAD MORE,1
2860,Nice n genuine productREAD MORE,1
2862,"Good, compared with other shuttleREAD MORE",1
2863,Waste for moneyREAD MORE,0
2864,Excellent flight and carry. Good for practice.READ MORE,1
2866,Good morningREAD MORE,1
2867,Not good product.... Old product.... Faced lots of problemsNot expected such type of problemsREAD MORE,0
2869,Very good quality productREAD MORE,1
2870,Good quality 👌READ MORE,1
2871,No problem its looking like goodREAD MORE,0
2875,Definitely a original product as we got fooled by our localsREAD MORE,1
2877,Good but very costlyREAD MORE,1
2881,Always best as usualREAD MORE,1
2883,Bad product. I got two days durabilityREAD MORE,0
2884,Perfect Shuttle for beginners and intermediate players.READ MORE,1
2888,Good quality 👌READ MORE,1
2889,Always awesome product 😎 👌 😘❤READ MORE,1
2890,Awesome ProductREAD MORE,1
2892,Great value for money.READ MORE,1
2893,Very nice product superrrrrrrREAD MORE,1
2896,"very old product, very bad quality, broken just in one match, the one I bought from market was good but brought from flipkart is very bad.Never ever buy these shuttle from flipkart.READ MORE",0
2898,Wow . Super super superREAD MORE,1
2903,Each one 150 costly gameREAD MORE,0
2904,Damaged itemREAD MORE,0
2906,Very good itemREAD MORE,1
2907,good qualityREAD MORE,1
2909,"Good one, Orginal product.READ MORE",1
2911,It's very good quality product...READ MORE,1
2915,"The quality of this shuttlecock is not good. After 5 to 6 games, the skirt damage and it become unbalanced and unplayable.READ MORE",0
2917,Very good shuttles...👌READ MORE,1
2920,"Good, as expected.READ MORE",1
2922,the shuttles failed miserably...one miss hit to the shuttle skirt and it broke from bottom core…READ MORE,0
2930,Original Good qualityREAD MORE,1
2931,Good productREAD MORE,1
2933,good productREAD MORE,1
2934,Nothing is better than this....READ MORE,0
2937,Loved itREAD MORE,1
2938,Nice productREAD MORE,1
2941,Very nice productREAD MORE,1
2943,Original product. Got it fully packed with yonex hologram. The quality of the product is relly nice.READ MORE,1
